Date of Incident,City,Select State,Hazard Description,Inspection Number,Federal or State Plan,Citation Issued Related to Fatality
12/10/2019,Columbus,OH,Worker died in fall down elevator shaft.,1450488,Federal,No
12/10/2019,North Miami,FL,Worker died in fall from boom lift.,1461688,Federal,Yes
12/10/2019,Lakeville,IN,Worker fatally struck by vehicle.,1450641,State,No
12/10/2019,Monetta,SC,Worker died after becoming caught in grain bin auger.,1450636,State,Yes
12/9/2019,Foster,KY,Worker fatally crushed by machine that fell from forklift.,1453952,State,Yes
12/8/2019,Dodge City,KS,Worker died in fall from ceiling.,1448997,Federal,Yes
12/8/2019,Gardena,CA,Worker electrocuted by flourescent ceiling lamp.,1449746,State,No
12/8/2019,Midland,TX,Worker fatally stabbed by ex-husband.,1449837,Federal,No
12/7/2019,Mckinney,TX,Worker died in fall while framing house.,1450112,Federal,Yes
12/7/2019,Fort Worth,TX,Worker fatally crushed by gate.,1450107,Federal,No
12/6/2019,Champaign,IL,Worker fatally struck by front end loader.,1450206,Federal,Yes
12/6/2019,Madison,WI,Worker fatally crushed by power lift.,1449489,Federal,Yes
12/6/2019,Eldridge,ND,Worker fatally struck by falling boom crane arm.,1451103,Federal,Yes
12/5/2019,Oakland,CA,Worker died in fall from ladder.,1451479,State,Yes
12/5/2019,Corvallis,OR,Worker fatally crushed between backhoe and dump truck.,1449485,State,No
12/5/2019,Prospect,KY,Worker died of complications from surgery after being injured in fall.,1452224,State,No
12/5/2019,Bronx,NY,Worker electrocuted by transformer.,1449487,Federal,Yes
12/5/2019,Oxford,MS,Worker died in fall from catwalk.,1449241,Federal,Yes
12/5/2019,Elizabeth,NJ,Worker died in fall from tree.,1449033,Federal,Yes
12/5/2019,Millsboro,DE,Worker fatally crushed when dump truck hydraulics failed.,1449374,Federal,Yes
12/4/2019,Bolingbrook,IL,Worker fatally injured in fall on floor.,1449693,State,Yes
12/4/2019,Tempe,AZ,Worker fatally injured by lathe.,1449010,State,No
12/4/2019,Mobile,AL,Worker died in fall from roof.,1469692,Federal,Yes
12/3/2019,Cleburne,TX,Worker died in fall from forklift.,1449288,Federal,No
12/3/2019,Gregory,TX,Worker fatally engulfed in soil.,1448548,Federal,Yes
12/3/2019,Panama City Beach,FL,Worker died in fall from roof.,1449294,Federal,Yes
12/3/2019,Louisville,MS,Worker fatally struck by fan.,1450546,Federal,Yes
12/2/2019,Wheatland,IA,Worker fatally crushed between boom and skid loader.,1448873,State,Yes
11/30/2019,Golden Meadow,LA,Worker drowned while trying to retrieve boat that came loose from barge.,1449591,Federal,No
11/29/2019,Gulfport,FL,Worker died in fall from roof.,1448112,Federal,Yes
11/29/2019,Mandan,ND,Worker died from carbon monoxide exposure in enclosed space.,1450728,Federal,Yes
11/29/2019,Secaucus,NJ,Worker died in fall through skylight.,1448156,Federal,Yes
11/29/2019,Greenville,SC,Worker died in fall from decking.,1449057,State,Yes
11/28/2019,North Charleston,SC,Worker fatally struck by tractor trailer.,1449450,State,Yes
11/27/2019,Honolulu,HI,Worker died in fall into sump pit.,1448086,State,Yes
11/27/2019,Thompson,IA,Worker fatally struck by skid loader.,1448214,State,Yes
11/27/2019,Enid,OK,Worker died in fall from high shelf.,1448375,Federal,No
11/27/2019,Pasadena,TX,Worker died in fall from aerial lift.,1448102,Federal,Yes
11/27/2019,Haverhill,MA,Worker died in fall from aerial lift.,1448119,Federal,Yes
11/26/2019,Blissfield,MI,Worker died in fall when roof collapsed.,1448715,State,No
11/26/2019,Mercer,PA,Worker fatally struck by wheel loader.,1447708,Federal,No
11/25/2019,Colorado Springs,CO,Worker died of injuries suffered when stepping off stool.,1455621,Federal,No
11/25/2019,Marina,CA,Worker died in fall from roof.,1447220,State,No
11/25/2019,Cincinnati,OH,Worker fatally engulfed by wet concrete.,1447797,Federal,Yes
11/25/2019,Dade City,FL,Worker fatally struck by falling tree.,1447540,Federal,Yes
11/25/2019,Springvale,ME,Worker fatally crushed under truck.,1448187,State,Yes
11/24/2019,Gary,IN,Worker fatally shot during robbery.,1448497,State,Yes
11/24/2019,Bastrop,TX,Worker died in fall from truck.,1448145,Federal,No
11/22/2019,Dublin,TX,Worker fatally struck by lawnmower.,1447499,Federal,No
11/22/2019,Spring,TX,Worker drowned in pool.,1447211,Federal,No
11/22/2019,Tarpon Springs,FL,Worker died when aerial lift tipped over.,1446772,Federal,Yes
11/22/2019,Laurel,DE,Worker electrocuted when trailer contacted power line.,1447034,Federal,Yes
11/22/2019,Chicago,IL,Worker died in fall while installing roof trusses.,1472801,Federal,Yes
11/22/2019,Beaverton,OR,Worker died in fall from roof.,1447669,State,No
11/21/2019,Pioneer,OH,Worker died in fall from pallet.,1445796,Federal,Yes
11/21/2019,Manor,TX,Worker fatally shot by coworker.,1452470,Federal,No
11/21/2019,Manchester Township,NJ,Worker fatally struck by falling section of tree trunk.,1447489,Federal,Yes
11/21/2019,Laredo,TX,Worker fatally crushed between tractor and trailer.,1447008,Federal,No
11/21/2019,Climax,GA,Worker fatally engulfed in feed bin.,1446990,Federal,Yes
11/21/2019,New York,NY,Worer died in fall from roof.,1446747,Federal,Yes
11/21/2019,Sherman Oaks,CA,Worker fatally struck by falling bundle of lumber.,1457253,State,Yes
11/20/2019,Wichita,KS,Worker fatally crushed between skid steer and railing.,1446177,Federal,Yes
11/20/2019,Chico,TX,Worker electrocuted when pole contacted power line.,1446331,Federal,Yes
11/20/2019,Marion,NC,Worker died after getting pulled nto lathe.,1446878,State,Yes
11/20/2019,Mitchell,SD,Worker asphyxiated in closed room while filling tanks with liquid nitrogen.,1448201,Federal,Yes
11/20/2019,Golden Meadow,LA,Worker fatally struck by excavator boom.,1446972,Federal,No
11/20/2019,Philadelphia,PA,Worker electrocuted by contact with power conductor.,1448666,Federal,No
11/20/2019,Noblesville,IN,Worker died in fall from ladder.,1452216,State,Yes
11/20/2019,Wimauma,FL,Worker fatally crushed by truck.,1446182,Federal,Yes
11/19/2019,Canton,OH,Worker died in fall through roof vent.,1447410,Federal,Yes
11/19/2019,Sonora,CA,Worker electrocuted while replacing light fixture.,1445812,State,No
11/19/2019,Gresham,OR,Worker fatally struck by passing vehicle.,1446495,State,No
11/19/2019,Blue Point,NY,Worker fatally struck by falling board.,1451496,Federal,No
11/19/2019,Saint Paul,MN,Worker asphixiated inside flour tanker.,1448776,State,Yes
11/19/2019,Houston,TX,Worker fatally struck by construction material that fell from trailer.,1445886,Federal,Yes
11/18/2019,Kerrville,TX,Worker fatally shot by coworker.,1452498,Federal,No
11/18/2019,Watford City,ND,Worker fatally struck by wheel loader.,1445836,Federal,Yes
11/18/2019,Shreveport,LA,Worker fatally crushed between loading arm and forklift.,1446151,Federal,Yes
11/18/2019,Reform,AL,Worker fatally struck by tailgate door.,1445994,Federal,Yes
11/18/2019,Mcallen,TX,Worker died from exposure to pesticide fumes.,1446638,Federal,No
11/17/2019,Greenwood,IN,Worker died in fall from scaffold.,1452981,State,No
11/17/2019,Midland,TX,Worker fatally struck by vehicle.,1446105,Federal,No
11/17/2019,Brunswick,GA,Worker drowned in vehicle that fell into river during loading onto boat.,1445377,Federal,No
11/17/2019,Mebane,NC,Worker died in fall from trailer.,1452513,State,Yes
11/16/2019,Palo Alto,CA,Worker electrocuted while replacing transformer and power lines.,1445287,State,No
11/16/2019,Valdosta,GA,Worker died after falling into chipper/grinder.,1445596,Federal,Yes
11/16/2019,Starkville,MS,Worker died in fall from tower.,1446625,Federal,Yes
11/15/2019,Wilsonville,OR,Worker fatally attacked.,1453283,State,No
11/15/2019,Wilsonville,OR,Worker murdered on the job.,1453282,State,No
11/15/2019,Dallas,TX,Worker died in fall from roof.,1455628,Federal,No
11/15/2019,Harlingen,TX,Worker fatally struck by cement truck.,1445914,Federal,Yes
11/15/2019,Depew,NY,Worker died in fall from conveyor belt.,1446416,Federal,No
11/15/2019,Hallandale Beach,FL,Worker electrocuted by contact with wires.,1445647,Federal,Yes
11/14/2019,Meridian,ID,Worker died in fall from ladder.,1446771,Federal,Yes
11/14/2019,King City,CA,Worker fatally struck by trailer.,1445525,State,No
11/14/2019,Denmark,SC,Two workers fatally shot during robbery.,1448494,State,No
11/14/2019,Orlando,FL,Worker fatally struck by falling sheets of glass.,1445238,Federal,Yes
11/14/2019,Nevada,IA,Worker fatally struck by a falling steel ring.,1445528,State,Yes
11/13/2019,Saint Augustine,FL,Worker died in fall.,1444333,Federal,Yes
11/13/2019,Memphis,TN,Worker fatally struck by aircraft shipping container.,1445008,State,Yes
11/13/2019,Pico Rivera,CA,Worker died in flash fire caused by spilt acetone.,1447044,State,No
11/13/2019,Eagle Nest,NM,Worker fatally struck by winch block.,1445247,State,No
11/13/2019,El Paso,TX,Worker fatally crushed between forklift and falling storage rack.,1444504,Federal,Yes
11/13/2019,Houston,TX,Worker died in trench collapse.,1444575,Federal,Yes
11/13/2019,Russellville,KY,Worker fatally struck by aluminum ingot that fell from trailer.,1449074,State,No
11/13/2019,Bryan,TX,Worker died in fall through skylight.,1445031,Federal,Yes
11/12/2019,Georgetown,OH,Worker electrocuted when lift contacted power line.,1444181,Federal,Yes
11/12/2019,Norwalk,CT,Worker died in fall from parking garage.,1443949,Federal,No
11/12/2019,Bangor,MI,Worker fatally struck by snow plow.,1444693,State,No
11/12/2019,Marseilles,IL,Worker fatally struck by pipe.,1444821,Federal,Yes
11/12/2019,Yukon,OK,Worker fatally shot by customer.,1444342,Federal,No
11/11/2019,Sistersville,WV,Worker fatally struck by passing vehicle.,1443896,Federal,Yes
11/11/2019,Brooklyn,NY,Worker died in fall to basement from second floor.,1444573,Federal,Yes
11/9/2019,Chicago,IL,Worker fatally crushed by engine.,1444060,Federal,Yes
11/9/2019,Bradenton,FL,Worker fatally crushed by vehicle while making repairs.,1449142,Federal,Yes
11/8/2019,Jacksonville,FL,Worker died in fall from roof.,1443824,Federal,Yes
11/7/2019,Ormond Beach,FL,Worker died in fall from roof.,1443385,Federal,No
11/7/2019,Milwaukee,WI,Worker died in fall from ladder.,1443767,Federal,No
11/7/2019,Burlington,MA,Worker died from exposure to cleaning chemical fumes.,1443690,Federal,Yes
11/6/2019,Arlington,TN,Two workers fatally struck by vehicle.,1443159,State,No
11/6/2019,Temple Hills,MD,Worker fatally struck by vehicle.,1443655,State,No
11/6/2019,Fort Myers,FL,Worker fatally struck by front end loader.,1443211,Federal,No
11/6/2019,San Francisco,CA,Worker died in fall down light well.,1443004,State,No
11/6/2019,Bangor,ME,Worker died when vehicle overturned.,1444965,Federal,Yes
11/5/2019,Nashville,TN,Worker fatally crushed by falling plywood load.,1442919,State,Yes
11/5/2019,Prairie Village,KS,Worker electrocuted after making contact with power lines.,1443951,Federal,No
11/5/2019,Mansfield,MA,Worker fatally burned by flammable liquid.,1445321,Federal,No
11/5/2019,Dallas,GA,Worker fatally struck by chainsaw.,1443890,Federal,No
11/5/2019,Phoenix,AZ,Worker fatally burned in fuel tank explosion.,1443209,State,Yes
11/5/2019,Cranbury,NJ,Worker fatally struck/crushed by order picker.,1442906,Federal,Yes
11/4/2019,Blytheville,AR,Worker went into respiratory arrest from exposure to grain dust.,1442781,Federal,Yes
11/4/2019,Lake City,SC,Worker fatally engulfed in grain bin.,1442699,State,Yes
11/4/2019,North Las Vegas,NV,Worker died in fall through skylight.,1443587,State,Yes
11/1/2019,Layton,UT,Worker died in fall from ladder.,1442065,State,No
11/1/2019,Grants Pass,OR,Worker fatally crushed by shifting truck load.,1443073,State,No
11/1/2019,Savannah,GA,Worker fatally struck by falling steel coil.,1442899,Federal,Yes
11/1/2019,North Little Rock,AR,Worker died in fall from ladder.,1443714,Federal,Yes
10/31/2019,Seguin,TX,Worker fatally burned by liquid from pressure cooker.,1437828,Federal,Yes
10/31/2019,Red Bluff,CA,Worker fatally crushed between backhoe and tree.,1443981,State,No
10/31/2019,Kapolei,HI,Worker fatally burned in fire.,1447935,State,Yes
10/30/2019,Swannanoa,NC,Worker died in fall from garbage truck.,1442091,State,Yes
10/30/2019,Binghamton,NY,Worker fatally struck by falling branch.,1441888,Federal,No
10/30/2019,New Britain,PA,Worker fatally struck by car.,1448877,Federal,No
10/29/2019,Pleasant Grove,UT,Worker died in fall while installing holiday lights.,1441939,State,No
10/29/2019,Myrtle Creek,OR,Worker fatally struck by falling tree.,1453403,State,No
10/29/2019,Norfolk,VA,Worker electrocuted while stripping insulation from conductor.,1441183,State,Yes
10/29/2019,Dayton,TX,Worker in aerial lift electrocuted while replacing insulator.,1441272,Federal,Yes
10/28/2019,Valentine,NE,Worker fatally struck by derrick boom.,1441466,Federal,Yes
10/27/2019,Plainfield,CT,Worker fatally crushed by shipping bracket.,1441013,Federal,Yes
10/27/2019,Dakota,IL,Worker fatally crushed by forklift.,1440901,Federal,No
10/27/2019,Mount Prospect,IL,Worker fatally struck by vehicle.,1440958,Federal,No
10/26/2019,Lewisville,TX,Worker fatally crushed between truck and trailer.,1442955,Federal,No
10/26/2019,Gary,IN,Worker fatally shot during attempted robbery.,1448496,State,Yes
10/26/2019,Odessa,TX,Worker died from exposure to hydrogen sulfide.,1440890,Federal,Yes
10/25/2019,Portsmouth,RI,Worker died in fall from ladder.,1442154,Federal,Yes
10/25/2019,Kansas City,KS,Worke died in fall from van.,1444680,Federal,Yes
10/25/2019,Amarillo,TX,Worker fatally crushed when machine activated.,1440972,Federal,Yes
10/25/2019,Teachey,NC,Worker fatally crushed between auger blade and wall of refrigeration room.,1441485,State,Yes
10/25/2019,Amory,MS,Worker died in fall to lower level of furnace room.,1440188,Federal,Yes
10/24/2019,Sitka,AK,Worker drowned after machine slid into water.,1440643,State,No
10/24/2019,El Dorado,AR,Worker fataly crushed under rolling truck.,1441035,Federal,No
10/24/2019,Odessa,TX,Worker died in fall from building.,1440352,Federal,Yes
10/24/2019,Houston,TX,Worker fatally crushed when cement hopper overturned.,1438193,Federal,Yes
10/24/2019,New York,NY,Worker fatally struck by steel beam.,1440666,Federal,Yes
10/23/2019,Benton Harbor,MI,Worker fatally struck by vehicle.,1439600,State,No
10/23/2019,Jonesboro,AR,Worker fatally crushed by trailer.,1440078,Federal,No
